title,channel,outlier,subs,published,url,found_via,about_ai,evergreen_llm,shape,adapt,why
Why Replacing Developers with AI is Going Horribly Wrong,Mackard,73.02,39500,2026-07-29,https://www.youtube.com/watch?v=WfjGZCuxl-U,ai-native,ai,yes,verdict,"Mirror the 'this initiative is quietly failing' verdict structure for any AI-replaces-humans claim, showing the gap between promise and reality.","Directly about AI, and the failure-of-a-plan verdict is a durable narrative shape, not tied to one product cycle."
Stupid AI Responses... 🥀,Stumb,8.93,108000,2026-07-29,https://www.youtube.com/watch?v=QswxisfYVV8,ai-native,no,no,clip,-,Same meme-compilation churn format as #27 with no transferable structure or lasting relevance.
"Energy Engineer Explains: The Math Behind ""AI Will Take Your Job"" Is Laughably Wrong",Mide,25.64,8270,2026-07-29,https://www.youtube.com/watch?v=sQGZXrzykpU,ai-native,ai,yes,explainer,Use the rigorous-expert-debunks-the-headline structure to walk through the actual math behind any viral AI job-loss claim.,"Directly about AI, and a quantitative debunking of a general claim holds up regardless of which model generation is current."
Jeff Bezos: AI investments are an industry bubble | #ecommerce #jeffbezos,WORLDEF,147.21,18400,2026-07-29,https://www.youtube.com/watch?v=ppy_toLPeqQ,ai-native,ai,no,clip,-,"About AI, but it's a single dated executive quote reacting to a specific market moment that will be stale in a year."
The AI Bubble Is About to Burst.,OverEasy,38.62,38500,2026-07-29,https://www.youtube.com/watch?v=37aUuoRyMhM,ai-native,ai,no,verdict,-,"Directly about AI, but an explicit market-timing call ('about to burst') expires the moment the market moves either way."
"AI is a massive problem, here's why.",Palisade Research,39.15,21100,2026-07-29,https://www.youtube.com/watch?v=A3HjNYDIhGU,ai-native,ai,yes,verdict,Adopt the blunt-thesis-then-evidence verdict structure for a video arguing a specific durable AI risk.,"Directly about AI, and a general safety-problem argument isn't pegged to a date or model version."
What is an AI Token? | LLM Tokens explained in 2 minutes!,Azure Innovation Station | Azure AI Agents,7.35,11500,2026-07-29,https://www.youtube.com/watch?v=OjrGu0L5K7M,ai-native,ai,yes,explainer,"Use the same rapid definitional-explainer format for any core mechanism (embeddings, context windows, attention) viewers don't understand.","Directly about AI, and tokenization is a model-agnostic mechanism that won't be invalidated by new releases."
How to train AI ML models? Full pipeline in 15 mins.,ChemCoder,5.52,18300,2026-07-29,https://www.youtube.com/watch?v=rysdr4khB5k,ai-native,ai,yes,framework,Reuse the numbered-pipeline-steps framework to demystify any technical AI process end-to-end.,"Directly about AI, and a training-pipeline walkthrough describes a durable process rather than a specific tool."
The Real Reason Nobody Wants to Work Anymore — It’s Not Laziness,DOGMAN,13.72,46400,2026-07-29,https://www.youtube.com/watch?v=3-qin4oRhA0,adjacent,adjacent,yes,mystery,"Swap 'laziness' for the popular misdiagnosis of AI backlash, revealing the real structural reason people distrust AI isn't the one everyone assumes.","A myth-busting grievance story about work isn't itself AI, but its withheld-truth structure is a template; it names no date or product so it stays relevant."
Why Nobody Wants to Be a Jehovah's Witness Anymore,EXJW Analyzer,10.74,54300,2026-07-29,https://www.youtube.com/watch?v=SpnbymuMhC0,adjacent,adjacent,yes,explainer,"Use the same institutional-decline explainer shape to unpack why trust in an AI-adjacent institution (a lab, a platform) is eroding.","An institution-losing-members story is structurally transferable to any institution's credibility collapse, and that decline pattern doesn't expire."
Hard Work is a Scam: The Harsh Truth About the Corporate World,American Truth Bomb,41.29,7600,2026-07-29,https://www.youtube.com/watch?v=av3CHCu2zBM,adjacent,adjacent,yes,verdict,Reframe as 'The AI Productivity Promise is a Scam' — same harsh-truth-about-the-system verdict aimed at AI-era corporate claims.,"A corporate-grievance verdict, not AI itself, but the deal-between-people-and-systems structure maps directly onto AI labor claims and doesn't date."
Hard Work is a LIE! Here’s What Actually Works…,Simplified Genius,12.63,12500,2026-07-29,https://www.youtube.com/watch?v=zr5PJelWr_4,adjacent,adjacent,yes,verdict,"Apply the myth-vs-reality verdict to 'AI skills are a lie, here's what actually works' for career advice videos.","Same work-myth verdict structure as #38, adjacent not AI, and the advice framing has no expiry date."
The “Work” Scam: Why a $30/Hour Job Doesn’t ACTUALLY Pay $30,Grayson Kole,35.45,2020,2026-07-29,https://www.youtube.com/watch?v=NeOhhuew7IY,adjacent,adjacent,yes,mystery,Recast as 'Why your AI subscription doesn't actually save you what it claims' — hidden-cost math reveal.,"A hidden-cost reveal about wages, not AI, but the withheld-math mystery structure is directly reusable and isn't tied to any date."
Gen Z Thinks Work’s a Scam. Millennials Push Back.,Nectar,10.95,10000,2026-07-29,https://www.youtube.com/watch?v=h2gytzWJ_Gs,adjacent,adjacent,yes,comparison,"Use the generational-clash comparison format for 'Gen Z trusts AI, older workers push back.'","A generational-disagreement comparison about work attitudes, not AI, but the two-sides structure transfers cleanly and doesn't expire."
Why Every 9-5 Job Feels Like a Life Sentence,Roz Lyn,8.86,10500,2026-07-29,https://www.youtube.com/watch?v=KAySG3kUDD4,adjacent,adjacent,yes,verdict,Reframe as 'Why AI-Monitored Jobs Feel Like a Life Sentence' using the same oppressive-system verdict.,"A workplace-grievance verdict, adjacent not AI, and the feeling-trapped framing has no date attached."
Why Working a 9-5 Job Feels so Depressing in 2025 (Data Based),Billy Boi,12.91,2070,2026-07-29,https://www.youtube.com/watch?v=S49VSbXjxKg,adjacent,adjacent,no,explainer,-,"Adjacent grievance content, but the explicit '2025' + 'data based' framing pegs it to a dataset that ages out."
How a 9 to 5 job takes over your life.,Quitemonk,232.35,61500,2026-07-29,https://www.youtube.com/watch?v=x9UNrPIXRsw,adjacent,adjacent,yes,mystery,"Reframe as 'How AI quietly takes over your job' — same slow-encroachment reveal, just swap the encroaching force.","Explicitly the worked-example adjacent case: a grievance story about a system overtaking someone's life, with no date to expire it."
How Banks Treat You at Every Level of Wealth — $0 to $25M,Dark Ledger,43.92,23900,2026-07-29,https://www.youtube.com/watch?v=2LXED3ENhck,adjacent,adjacent,yes,scale-ladder,"Reuse the wealth-tier ladder to show how AI treats users differently at each access tier, free to enterprise.","A wealth-tier ladder about banks, not AI, but the tiered-treatment structure maps directly onto AI access inequality and stays evergreen."
How Banks Treat You at Every Level of Wealth (Why the Wealthy Get Better Deals),Another Story,21.57,19100,2026-07-29,https://www.youtube.com/watch?v=gCYAAp4StVs,adjacent,adjacent,yes,scale-ladder,"Same tiered-access ladder, framed as why premium AI subscribers get fundamentally better model access than free users.","Same proven scale-ladder wealth-tier structure as #45, adjacent not AI, evergreen since it's a general mechanism not a dated fact."
What Happens if You Invest $500 Every Month,Capital Explained,38.33,1800,2026-07-29,https://www.youtube.com/watch?v=BdtfuEDSq4I,adjacent,adjacent,yes,framework,Reuse the compounding-projection framework for 'what happens if you spend 30 minutes a day learning AI tools.',"A compounding-investment framework, adjacent not AI, and the habit-compounding structure is timeless."
I invested £150 every month in Trading 212 Stocks & Shares ISA (My 5-Month Return),Ismail El Yacoubi,27.39,13700,2026-07-29,https://www.youtube.com/watch?v=e1iQhx9L1f4,adjacent,no,no,clip,-,"A personal investment-progress vlog with no reusable narrative structure, and the specific dated return figures expire immediately."
Why everything feels more expensive now,It's Complicated,72.08,75100,2026-07-29,https://www.youtube.com/watch?v=H2Z-FQtezCc,adjacent,adjacent,no,explainer,Reframe as 'why everything feels more automated now' using the same creeping-systemic-change explainer shape.,"An economic-conditions explainer, adjacent not AI, but tied to the current inflation moment so it won't hold up long-term."
"Laid Off After 25 Years in Tech: The Anxiety, Sacrifice, and Reality No One Talks About",Asian Dad Energy,12.13,110000,2026-07-29,https://www.youtube.com/watch?v=VeMA9WGKxOg,adjacent,adjacent,yes,mystery,Reuse the withheld-truth layoff-confessional shape directly for an AI-driven tech layoff story.,"A career-displacement confessional, adjacent not AI, whose slow-reveal structure and human stakes don't date."
"How Gen Z is doomed to own nothing, but pay forever",Ashley Embers,7.96,244000,2026-07-29,https://www.youtube.com/watch?v=Il0AJC-qghQ,adjacent,adjacent,yes,verdict,"The same grievance structure — permanent renting instead of owning, paying forever for less — maps directly onto AI-as-subscription-service locking users into perpetual dependency instead of owning tools or skills.","Not about AI, but it's a systemic-grievance argument about the deal between people and institutions, which is a proven register for an AI story; the economic pattern it describes isn't tied to a date."
The AI Data Center Boom Doesn’t Survive Basic Physics,Jovan EEN,16.55,12300,2026-07-29,https://www.youtube.com/watch?v=9lDc8NpU2c0,ai-native,ai,yes,verdict,-,"Directly about AI infrastructure, and its argument rests on fixed physical constraints (power, cooling, materials) rather than any current model or news cycle."
I Lost My Job to AI,Coopymations,17.98,47200,2026-07-29,https://www.youtube.com/watch?v=GfcZXfit0Ss,ai-native,ai,yes,clip,-,"Directly about AI displacing a job, told as a personal testimonial that isn't pegged to a specific model version or date."
Why Some Girls Look More Expensive Than Others (Brutally Honest),Golden It Girl,8.85,19000,2026-07-29,https://www.youtube.com/watch?v=5KSyTZzB-BI,adjacent,adjacent,yes,framework,The tells-checklist structure (what separates 'expensive' from 'cheap') could reframe as a checklist for what separates AI output that reads as premium/trustworthy from output that reads as cheap/synthetic.,"Not about AI, but its checklist-of-signals format is a reusable structural device; the framework itself doesn't expire."
